Temperature,RH,Ws,Rain,FWI
30,41,15,0.0,10.0
31,42,21,0.0,16.7
27,58,17,0.0,12.9
30,52,15,2.0,0.9
27,79,16,0.7,0.3
28,90,15,0.0,0.6
29,87,15,0.4,0.1
31,69,17,4.7,0.4
33,62,10,8.7,0.4
32,67,14,4.5,0.4
31,72,14,0.2,0.3
32,55,14,0.0,4.9
33,46,14,1.1,1.2
33,59,16,0.8,0.8
35,68,16,0.0,5.3
34,70,16,0.0,6.7
36,62,16,0.0,9.5
36,55,15,0.0,12.0
37,37,13,0.0,18.4
37,36,13,0.6,7.2
34,42,15,1.7,2.2
28,58,18,2.2,0.5
33,48,16,0.0,6.4
34,56,17,0.1,5.2
34,58,18,0.0,9.9
34,45,18,0.0,15.0
35,42,15,0.3,6.3
38,43,13,0.5,5.2
35,47,18,6.0,3.0
36,43,15,1.9,3.1
34,51,16,3.8,1.3
34,56,15,2.9,0.8
36,44,13,0.0,9.6
39,45,13,0.6,4.7
34,45,17,0.0,14.1
31,83,17,0.0,7.3
32,81,17,0.0,7.7
33,68,15,0.0,9.1
34,58,16,0.0,13.0
36,50,16,0.0,17.3
36,29,18,0.0,30.0
32,48,18,0.0,25.4
31,71,17,0.0,16.3
33,63,17,1.1,2.5
39,64,9,1.2,0.7
35,58,10,0.2,1.0
29,87,18,0.0,3.2
33,57,16,0.0,9.0
34,59,16,0.0,10.9
36,56,16,0.0,13.2
37,55,15,0.0,14.5
38,52,14,0.0,0.8
40,34,14,0.0,13.5
39,33,17,0.0,19.5
38,35,15,0.0,20.9
34,42,17,0.1,12.6
30,54,14,3.1,0.8
34,63,13,2.9,0.6
37,56,11,0.0,5.9
39,43,12,0.0,12.7
39,39,15,0.2,10.7
40,31,15,0.0,21.6
39,21,17,0.4,18.8
35,34,16,0.2,10.5
37,40,13,0.0,15.7
35,46,13,0.3,5.5
40,41,10,0.1,14.8
42,24,9,0.0,24.0
37,37,14,0.0,26.3
35,66,15,0.1,7.7
36,81,15,0.0,9.0
36,71,15,0.0,12.2
37,53,14,0.0,18.1
36,43,16,0.0,24.5
35,38,15,0.0,26.9
34,40,18,0.0,31.1
33,37,16,0.0,30.3
36,54,14,0.0,26.1
35,56,14,0.4,6.1
35,53,17,0.5,5.9
34,49,15,0.0,16.0
30,59,19,0.0,19.4
29,86,16,0.0,0.0
28,67,19,0.0,0.8
28,75,16,0.0,2.5
30,66,15,0.2,0.7
30,58,12,4.1,0.4
34,71,14,6.5,0.4
31,62,15,0.0,3.2
30,88,14,0.0,2.7
30,80,15,0.0,3.7
29,74,15,1.1,0.3
30,73,14,0.0,1.2
31,72,14,0.0,3.9
29,49,19,0.0,10.3
28,81,15,0.0,5.7
32,51,13,0.0,9.8
33,26,13,0.0,19.3
34,44,12,0.0,17.5
36,33,13,0.1,15.4
29,41,8,0.1,5.6
34,58,13,0.2,3.8
35,34,17,0.0,21.6
33,64,13,0.0,13.7
35,56,14,0.0,15.2
26,49,6,2.0,0.4
28,70,15,0.0,3.0
30,65,14,0.0,6.5
28,87,15,4.4,0.0
27,87,29,0.5,0.2
24,54,18,0.1,0.7
24,64,15,0.2,0.5
